artificial_line,reply
サムライレンズマンいいですよね,日本人が書いたサムライレンズマンも良い出来だった。いま、レンズマンを再発見する人いるのかな。
沖縄のバス不便ですよね,125のバス減らすのクソだよな。そういう人たちなんだが。
Ingressいいですよね,もうだいぶ涼しいので、中部商業の坂や大謝名の坂を登っても大丈夫。真栄原から我如古は長く感じるので歩かない。
成功したい,「ほげほげな方法では成功しない」というのは簡単だが、成功してる例は結構そんな例に当てはまったりする。だいたい成功してる例が方法論になるのだろうし。
ブルーレイいいですよね,一回、50枚のBD-Rの不良品食らったことがあって、いまでも祟ってる。
プッチンプリン,シリアに関するプーチン氏のコメントはひどい。難民の責任をドイツに取らせておいて...
男は馬鹿な生き物ですよね,男性は女性と違って、それ自身で完結していないからなぁ。
旅行者についてどう思いますか?,日本の感染源は渡航者が主ではもはやないのに…
Moggi,Moggi の論文には、いろんな計算の計算結果以外の様子(副作用、失敗、並列、非決定性等)を表すのにMonadが有効だと書いてある。
風強いですね、ぎりぎり出かけることができるかな,しかし、強風圏と暴風圏は紙一重
上司がアナログなんです...,超時代遅れの会社に文句を言う人材に「同情できない」という人か。所属したら二週間程度で改善できるところを提案できないとダメなんていう話しも聞いたが、その反対だな。
最近のAgdaはどうですか,新しい方法を考え出したのだが、とっかかりがない。
原発についてどう思いますか,BWRで起き得る最大の事故の規模と対処法が判明したということでもある。事故処理できないとはしゃいでる人たちもいるが、時間が経てば放射能は減るので難易度は下がる。実際にいろいろ作業は進んでる。
