artificial_line,reply
インフレってなに,ハイパーインフレってそういうものなんだよな。70年代の狂乱物価は倍もいってないが、その後のインフレ忌避につながってる。
フードコート,店員のおばちゃんがいるのにお水セルフって意味不明だな。
古今東西,古今東西、キムボールキニスンの偽名〜
飲食店,飲み屋さんTシャツとかはまだなんとかなるがスナックのはなぁ
えー,自分の理解では、p7m は署名込みで暗号化されてると思うんだが、違うのかな。
リコール,リコール署名捏造事件はどうなったのかな
PC9801,PC9801は、そのそも名前からしてPC8001の延長で、CP/M86、MSDOSが動けばよいし、しかも、漢字表示ってなぐあいで。便利ではあったが。C-Bus
課金,エントロピー課金ストレージ、結構面白いな
排他律,まさか、SetsのToposのsubobject classifierが排他律を仮定する必要があるとはね。そんなこと一言も書いてないじゃん。
コロナおさまったね,もうコロナ怖くないとか言ってるのがいるけど、イギリスを見ると、日本のこれからの状況がだいたい予測できる。感染は再拡大し重症者は未ワクチン中心になるが、それほどは増えない。
国籍,そのうち多重国籍禁止は国際法違反ってことになるんじゃないかな。国際法になんの意味があるのかは知らんが。
陰謀論好きですか,某国の陰謀じゃないかってくらい、いろいろ降ってきてる
Yeah,version up
先生の喋りが好きです,まぁ、文句言いたいだけなので、言わせたおいた方が良い。
原発,これは反論の余地ないな。でも無意味に原発停めたのは当時の民主政権だろ。あれがなかっただけで、ぐっと楽だったはず。
Squeak Smalltak,Squeak/Smalltakは今でも学習する意味はあると思う。型宣言のない言語、λ式であるブロックの多用、自己記述、オブジェクトの置き換え。
消費税率高すぎないですか,消費税20%論者だが、あと10%上げるなら所得税下げと組み合わせてやれば良い。低所得層には直接配布や最低賃金上げで。それでも反対な君はどの辺りの層の人なのかな。多分、金持ちは消費税気にしてないぞ。そう主張してたでしょ。
自転車乗ったことあります？,最近は終バス逃すとレンタル自転車使ったりしてるんだが… この前は根性なくてタクシー
なにしてたの〜？,爆睡した
ヘビメタっていいよね,ヘビィメタを暗くて重苦しいという寂しい感性
授業する側って大変ですか？,ま、確かに学生の授業は、案件が学生の数だけ進行してると言えなくもない。
メール返信お願いします,proc と porc を間違えて、メールが出て行ってなかった。
沖縄のバスって使えます？,バスの時間がダメだな…
理想の政府,自分に有利な腐敗した政府、敵を逮捕監禁してくれる政府。
先生のお母さんってどんな人？,母は投資なんかしなかったな。必要ないし。富裕でも貧乏でも、要らない人には要らない。単なる余計な手間。
インフレって大変だね,インフレは戦争や内戦と同じで、なければそれで十分的なところがあるのかも。
少子化対策,実際、不安定な所得税法人税で再配分とか教育とか少子化対策するのは難しいとは思う。消費税は割と読みやすい。
今起きた，授業間に合うかな,あと7分とある
家事多すぎて草,家事が週100とかあるのは自慢でも当然のことでもなくて、それはなおすべき悪習だし、無駄なことだと思う。
Webex,Webexってブラウザからだとゲストとして参加できない?
