artificial_line,reply
iphone7,7+は、さすがに売れないが自分で使う分には。
なしですか？,それはありだろ
男子と女子どっちが数学できるの？,男女等しく数学できないので、そこになんか差があると感じない。東工大でも女史の方が成績良かったし。
奴隷は嫌,奴隷が嫌なら、女性とは付き合えないのでは?
業務理解放棄とIT理解放棄のど悪い？,業務理解放棄とIT理解放棄のどっちの罪が重いかは自明だろ。
osの課題,うちのレベルの学生には無理みたいな話も聞くが関係ない。英語五千ページとか単なる教養。
背広のポケットってiphone入るの？,背広のポケットを7+に合わせてあったりするんだが、Pro maxでも問題ないのか
VR楽しいよ！,VR、まぁ、物珍しいが疲れるだけ説
単位ください,あぁ、おれおれ証明書を登録しろと
反ワクチンについてどう思いますか？,反ワクチンも同じ面があって反ワクチン自体は放置で良い。それとワクチン推進と効果の解析は独立だし、馬鹿に関わるのは時間の無駄ってことね。マスクしてないのにうるさく言っても無駄なだけ。
日本語が難しいです,見かけ日本人で、まったく日本語できない不幸もなぁ… いや、それは裏返せば有利さなのだが、子供の頃には反発してしまうんだよな。
TeXでいいですか？,TeXは、いろいろ問題ある。md でいいだろ説はあるが… MS Word の問題とも関連してる。
緊急事態中は海外旅行に行けないんですか？,でも、それは建前で中国の中から外は割とアクセスし放題なんだろうな。いくらでも方法あるから。
子育てが大変,社会が子育てを支援してないから、必要なものを全部持ち歩くってことになってるのだろうな。
